"Time", "controlBus.chassisBus.longitudinalVelocity|km/h", "controlBus.chassisBus.longitudinalAcceleration|m/s2", "controlBus.batteryBus_1.SOC"
"0", "0", "-0.27051786", "0.97"
"1.60E-10", "-1.56E-10", "-0.27051786", "0.97"
"0.033154584", "0.03547057", "-0.38355446", "0.97"
"0.1", "0.15675247", "0.6583292", "0.97"
"0.2", "0.19370335", "-0.38606504", "0.97"
"0.3", "-0.068731196", "-0.58025783", "0.97"
"0.4", "-0.16347387", "-0.02274", "0.97"
"0.4326753", "-0.118084654", "0.8861132", "0.97"
"0.5", "0.060227837", "0.41621423", "0.97"
"0.6", "0.13492373", "-0.094145745", "0.97"
"0.7", "-0.035419762", "-0.48762453", "0.97"
"0.8", "-0.11218405", "0.093775146", "0.97"
"0.9", "0.02541989", "0.2551423", "0.97"
"1", "0.030705057", "-0.07794077", "0.97"
"1.1", "-0.02706247", "-0.15771817", "0.97"
"1.2", "-0.033354815", "0.048755325", "0.97"
"1.3", "-0.001189001", "0.092420936", "0.97"
"1.4", "0.009876436", "-0.044046707", "0.97"
"1.5", "-0.007857669", "-0.023280801", "0.97"
"1.6", "-0.017749377", "-0.01973272", "0.97"
"1.7", "-0.011232505", "0.03101188", "0.97"
"1.8", "-0.004134914", "0.005045114", "0.97"
"1.9", "-0.006861667", "-0.013586316", "0.97"
"2", "-0.011162145", "-0.009773769", "0.97"
"2.1", "-0.010651237", "0.010616331", "0.97"
"2.2", "-0.006923602", "0.006394032", "0.97"
"2.3", "-0.006499005", "-0.005946802", "0.97"
"2.3195357", "-0.00683232", "-0.007279421", "0.97"
"2.4", "-0.008656997", "-0.005347786", "0.97"
"2.5", "-0.009236403", "-2.47E-05", "0.97"
"2.5800068", "-0.00889509", "0.002433676", "0.97"
"2.6", "-0.00871006", "0.002595138", "0.97"
"2.7", "-0.008192392", "0.000797599", "0.97"
"2.8", "-0.008274801", "-0.00026242", "0.97"
"2.9", "-0.008409376", "-0.000362688", "0.97"
"3", "-0.008492646", "-0.000185807", "0.97"
"3.1", "-0.008527979", "-2.72E-05", "0.97"
"3.1260304", "-0.008530634", "7.55E-06", "0.97"
"3.2", "-0.008504203", "0.000139941", "0.97"
"3.3", "-0.008471292", "8.59E-05", "0.97"
"3.4", "-0.008467216", "2.78E-06", "0.97"
"3.5", "-0.008476732", "-5.00E-05", "0.97"
"3.6", "-0.008490714", "-6.10E-05", "0.97"
"3.7", "-0.008499727", "-3.72E-05", "0.97"
"3.8", "-0.00850399", "-7.25E-06", "0.97"
"3.9", "-0.008503045", "1.07E-05", "0.97"
"4", "-0.008503825", "1.71E-05", "0.97"
"4.1", "-0.008504742", "1.37E-05", "0.97"
"4.2", "-0.008505847", "2.46E-06", "0.97"
"4.3", "-0.008507561", "-4.45E-07", "0.97"
"4.4", "-0.008509654", "-3.85E-06", "0.97"
"4.5", "-0.008512054", "-7.42E-06", "0.97"
"4.6", "-0.008513976", "-7.88E-06", "0.97"
"4.7", "-0.00851584", "-6.99E-06", "0.97"
"4.8", "-0.008517623", "-4.88E-06", "0.97"
"4.9", "-0.008518963", "-3.97E-06", "0.97"
"5", "-0.008520051", "-2.99E-06", "0.97"
"5.1", "-0.008520891", "-1.97E-06", "0.97"
"5.2", "-0.008521664", "-1.43E-06", "0.97"
"5.3", "-0.008522343", "-1.29E-06", "0.97"
"5.4", "-0.008522967", "-1.67E-06", "0.97"
"5.5", "-0.008523564", "-1.80E-06", "0.97"
"5.6", "-0.008524177", "-1.93E-06", "0.97"
"5.7", "-0.00852484", "-1.99E-06", "0.97"
"5.8", "-0.008525397", "-2.13E-06", "0.97"
"5.9", "-0.008525907", "-2.25E-06", "0.97"
"6", "-0.00852637", "-2.32E-06", "0.97"
"6.1", "-0.008526779", "-2.34E-06", "0.97"
"6.2", "-0.008527128", "-2.26E-06", "0.97"
"6.3", "-0.008527415", "-2.07E-06", "0.97"
"6.4", "-0.008527705", "-1.91E-06", "0.97"
"6.5", "-0.008527965", "-1.68E-06", "0.97"
"6.6", "-0.008528194", "-1.38E-06", "0.97"
"6.7", "-0.008528393", "-9.89E-07", "0.97"
"6.8", "-0.008528563", "-5.02E-07", "0.97"
"6.9", "-0.008528712", "-8.27E-08", "0.97"
"7", "-0.008528851", "1.18E-07", "0.97"
"7.078401", "-0.008528948", "2.08E-07", "0.97"
"7.1", "-0.008528933", "1.79E-07", "0.97"
"7.2", "-0.008529021", "-3.18E-07", "0.97"
"7.3", "-0.008529182", "-4.61E-07", "0.97"
"7.4", "-0.008529331", "-4.25E-07", "0.97"
"7.5", "-0.008529452", "-3.70E-07", "0.97"
"7.6", "-0.00852956", "-3.06E-07", "0.97"
"7.7", "-0.008529648", "-2.70E-07", "0.97"
"7.8", "-0.008529735", "-2.37E-07", "0.97"
"7.9", "-0.008529814", "-2.12E-07", "0.97"
"8", "-0.008529889", "-1.91E-07", "0.97"
"8.1", "-0.008529957", "-1.76E-07", "0.97"
"8.2", "-0.008530023", "-1.62E-07", "0.97"
"8.3", "-0.008530082", "-1.49E-07", "0.97"
"8.330637", "-0.008530099", "-1.46E-07", "0.97"
"8.4", "-0.008530135", "-1.47E-07", "0.97"
"8.5", "-0.008530187", "-1.40E-07", "0.97"
"8.6", "-0.008530233", "-1.24E-07", "0.97"
"8.7", "-0.008530275", "-1.10E-07", "0.97"
"8.8", "-0.008530312", "-9.76E-08", "0.97"
"8.9", "-0.008530345", "-8.62E-08", "0.97"
"9", "-0.008530377", "-7.64E-08", "0.97"
"9.1", "-0.008530407", "-6.80E-08", "0.97"
"9.2", "-0.008530434", "-6.09E-08", "0.97"
"9.3", "-0.008530458", "-5.52E-08", "0.97"
"9.4", "-0.00853048", "-5.08E-08", "0.97"
"9.5", "-0.0085305", "-4.71E-08", "0.97"
"9.6", "-0.008530519", "-4.27E-08", "0.97"
"9.7", "-0.008530536", "-3.89E-08", "0.97"
"9.8", "-0.008530552", "-3.57E-08", "0.97"
"9.9", "-0.008530565", "-3.31E-08", "0.97"
"10", "-0.008530578", "-3.05E-08", "0.97"
"10.1", "-0.008530589", "-2.77E-08", "0.97"
"10.2", "-0.008530599", "-2.51E-08", "0.97"
"10.3", "-0.008530608", "-2.27E-08", "0.97"
"10.4", "-0.008530617", "-2.05E-08", "0.97"
"10.5", "-0.008530624", "-1.85E-08", "0.97"
"10.6", "-0.008530631", "-1.66E-08", "0.97"
"10.7", "-0.008530637", "-1.49E-08", "0.97"
"10.8", "-0.008530643", "-1.35E-08", "0.97"
"10.9", "-0.008530648", "-1.21E-08", "0.97"
"11", "-0.008530652", "-1.09E-08", "0.97"
"11.1", "-0.008530657", "-9.85E-09", "0.97"
"11.2", "-0.008530661", "-8.95E-09", "0.97"
"11.3", "-0.008530663", "-8.14E-09", "0.97"
"11.4", "-0.008530667", "-7.36E-09", "0.97"
"11.5", "-0.008530669", "-6.66E-09", "0.97"
"11.6", "-0.008530672", "-6.05E-09", "0.97"
"11.7", "-0.008530675", "-5.53E-09", "0.97"
"11.8", "-0.008530676", "-5.01E-09", "0.97"
"11.9", "-0.008530678", "-4.54E-09", "0.97"
"12", "-0.008530679", "-4.12E-09", "0.97"
"12.1", "-0.008530681", "-3.75E-09", "0.97"
"12.2", "-0.008530683", "-3.39E-09", "0.97"
"12.3", "-0.008530684", "-3.07E-09", "0.97"
"12.4", "-0.008530685", "-2.79E-09", "0.97"
"12.5", "-0.008530686", "-2.53E-09", "0.97"
"12.6", "-0.008530687", "-2.29E-09", "0.97"
"12.7", "-0.008530688", "-2.07E-09", "0.97"
"12.8", "-0.008530689", "-1.89E-09", "0.97"
"12.9", "-0.008530689", "-1.71E-09", "0.97"
"13", "-0.008530689", "-1.55E-09", "0.97"
"13.1", "-0.00853069", "-1.41E-09", "0.97"
"13.2", "-0.008530691", "-1.28E-09", "0.97"
"13.3", "-0.008530691", "-1.16E-09", "0.97"
"13.4", "-0.008530692", "-1.05E-09", "0.97"
"13.5", "-0.008530692", "-9.58E-10", "0.97"
"13.6", "-0.008530692", "-8.73E-10", "0.97"
"13.7", "-0.008530693", "-7.94E-10", "0.97"
"13.8", "-0.008530693", "-7.23E-10", "0.97"
"13.9", "-0.008530693", "-6.60E-10", "0.97"
"14", "-0.008530694", "-6.02E-10", "0.97"
"14.1", "-0.008530694", "-5.50E-10", "0.97"
"14.2", "-0.008530694", "-5.03E-10", "0.97"
"14.3", "-0.008530694", "-4.59E-10", "0.97"
"14.4", "-0.008530695", "-4.19E-10", "0.97"
"14.5", "-0.008530695", "-3.83E-10", "0.97"
"14.6", "-0.008530695", "-3.50E-10", "0.97"
"14.7", "-0.008530695", "-3.20E-10", "0.97"
"14.751815", "-0.008530695", "-3.05E-10", "0.97"
"14.751815", "-0.008530695", "-3.05E-10", "0.97"
"14.8", "-0.008530695", "-2.92E-10", "0.97"
"14.9", "-0.008530695", "-2.68E-10", "0.97"
"15", "-0.008530695", "-2.45E-10", "0.97"
"15.1", "-0.008530695", "-2.25E-10", "0.97"
"15.2", "-0.008530695", "-2.06E-10", "0.97"
"15.3", "-0.008530695", "-1.88E-10", "0.97"
"15.4", "-0.008530695", "-1.71E-10", "0.97"
"15.5", "-0.008530695", "-1.56E-10", "0.97"
"15.6", "-0.008530695", "-1.43E-10", "0.97"
"15.7", "-0.008530695", "-1.30E-10", "0.97"
"15.8", "-0.008530695", "-1.18E-10", "0.97"
"15.9", "-0.008530695", "-1.08E-10", "0.97"
"16", "-0.008530695", "-9.79E-11", "0.97"
"16.1", "-0.008530695", "-8.89E-11", "0.97"
"16.2", "-0.008530695", "-8.07E-11", "0.97"
"16.3", "-0.008530695", "-7.35E-11", "0.97"
"16.4", "-0.008530695", "-6.67E-11", "0.97"
"16.5", "-0.008530695", "-6.05E-11", "0.97"
"16.6", "-0.008530695", "-5.49E-11", "0.97"
"16.7", "-0.008530695", "-5.00E-11", "0.97"
"16.8", "-0.008530695", "-4.54E-11", "0.97"
"16.9", "-0.008530695", "-4.12E-11", "0.97"
"17", "-0.008530695", "-3.73E-11", "0.97"
"17.1", "-0.008530695", "-3.39E-11", "0.97"
"17.2", "-0.008530695", "-3.09E-11", "0.97"
"17.3", "-0.008530695", "-2.81E-11", "0.97"
"17.4", "-0.008530695", "-2.56E-11", "0.97"
"17.5", "-0.008530695", "-2.33E-11", "0.97"
"17.6", "-0.008530695", "-2.13E-11", "0.97"
"17.7", "-0.008530695", "-1.95E-11", "0.97"
"17.8", "-0.008530695", "-1.78E-11", "0.97"
"17.9", "-0.008530695", "-1.63E-11", "0.97"
"18", "-0.008530695", "-1.49E-11", "0.97"
"18.1", "-0.008530695", "-1.37E-11", "0.97"
"18.2", "-0.008530695", "-1.27E-11", "0.97"
"18.3", "-0.008530695", "-1.17E-11", "0.97"
"18.4", "-0.008530695", "-1.09E-11", "0.97"
"18.5", "-0.008530696", "-1.01E-11", "0.97"
"18.6", "-0.008530696", "-9.36E-12", "0.97"
"18.7", "-0.008530696", "-8.69E-12", "0.97"
"18.8", "-0.008530696", "-8.14E-12", "0.97"
"18.9", "-0.008530696", "-7.62E-12", "0.97"
"19", "-0.008530696", "-7.15E-12", "0.97"
"19.1", "-0.008530696", "-6.71E-12", "0.97"
"19.2", "-0.008530696", "-6.29E-12", "0.97"
"19.3", "-0.008530696", "-5.86E-12", "0.97"
"19.4", "-0.008530696", "-5.43E-12", "0.97"
"19.5", "-0.008530696", "-5.00E-12", "0.97"
"19.6", "-0.008530696", "-4.68E-12", "0.97"
